len(train_dataset) =  118876
train_dataset.iters_per_epoch =  7430
len(train_loader) =  3715
steps_per_valid =  928
https://storage.googleapis.com/sfr-vision-language-research/BLIP/models/model_large.pth
large
load checkpoint from /raid/maxusen/ImageReward/train/model_large.pth
missing keys:
[]
learning rate decaying style cosine, ratio 0.0
Iteration 112 | Loss 0.69315 | Acc 0.5000
Iteration 113 | Loss 0.69315 | Acc 0.4531
Iteration 114 | Loss 0.69315 | Acc 0.5312
Iteration 115 | Loss 0.69315 | Acc 0.5312
Iteration 116 | Loss 0.69315 | Acc 0.4375
Iteration 117 | Loss 0.69315 | Acc 0.4531
Iteration 118 | Loss 0.69315 | Acc 0.4844
Iteration 119 | Loss 0.69315 | Acc 0.4375
Iteration 120 | Loss 0.69315 | Acc 0.5938
Iteration 121 | Loss 0.69315 | Acc 0.6250
Iteration 122 | Loss 0.69315 | Acc 0.4531
Iteration 123 | Loss 0.69315 | Acc 0.4844
Iteration 124 | Loss 0.69315 | Acc 0.6094
Iteration 125 | Loss 0.69315 | Acc 0.4844
Iteration 126 | Loss 0.69315 | Acc 0.5469
Iteration 127 | Loss 0.69315 | Acc 0.5000
Iteration 128 | Loss 0.69315 | Acc 0.4531
Iteration 129 | Loss 0.69315 | Acc 0.5312
Iteration 130 | Loss 0.69315 | Acc 0.5781
Iteration 131 | Loss 0.69315 | Acc 0.5469
Iteration 132 | Loss 0.69315 | Acc 0.5312
Iteration 133 | Loss 0.69315 | Acc 0.4531
Iteration 134 | Loss 0.69315 | Acc 0.4844
Iteration 135 | Loss 0.69315 | Acc 0.4688
Iteration 136 | Loss 0.69315 | Acc 0.5000
Iteration 137 | Loss 0.69315 | Acc 0.4375
Iteration 138 | Loss 0.69315 | Acc 0.4688
Iteration 139 | Loss 0.69315 | Acc 0.4375
Iteration 140 | Loss 0.69315 | Acc 0.4688
Iteration 141 | Loss 0.69315 | Acc 0.4219
Iteration 142 | Loss 0.69315 | Acc 0.5000
Iteration 143 | Loss 0.69315 | Acc 0.4531
Iteration 144 | Loss 0.69315 | Acc 0.4375
Iteration 145 | Loss 0.69315 | Acc 0.3594
Iteration 146 | Loss 0.69315 | Acc 0.4219
Iteration 147 | Loss 0.69315 | Acc 0.5781
Iteration 148 | Loss 0.69315 | Acc 0.6875
Iteration 149 | Loss 0.69315 | Acc 0.5938
Iteration 150 | Loss 0.69315 | Acc 0.4219
Iteration 151 | Loss 0.69315 | Acc 0.4531
Iteration 152 | Loss 0.69315 | Acc 0.3594
Iteration 153 | Loss 0.69315 | Acc 0.4688
Iteration 154 | Loss 0.69315 | Acc 0.4219
Iteration 155 | Loss 0.69315 | Acc 0.4375
Iteration 156 | Loss 0.69315 | Acc 0.4375
Iteration 157 | Loss 0.69315 | Acc 0.4844
Iteration 158 | Loss 0.69315 | Acc 0.5312
Iteration 159 | Loss 0.69315 | Acc 0.5156
Iteration 160 | Loss 0.69315 | Acc 0.4844
Iteration 161 | Loss 0.69315 | Acc 0.5781
Iteration 162 | Loss 0.69315 | Acc 0.4531
Iteration 163 | Loss 0.69315 | Acc 0.5312
Iteration 164 | Loss 0.69315 | Acc 0.5156
Iteration 165 | Loss 0.69315 | Acc 0.4844
Iteration 166 | Loss 0.69315 | Acc 0.5000
Iteration 167 | Loss 0.69315 | Acc 0.5312
Iteration 168 | Loss 0.69315 | Acc 0.4219
Iteration 169 | Loss 0.69315 | Acc 0.5781
Iteration 170 | Loss 0.69315 | Acc 0.4219
Iteration 171 | Loss 0.69315 | Acc 0.5625
Iteration 172 | Loss 0.69315 | Acc 0.5781
Iteration 173 | Loss 0.69315 | Acc 0.5000
Iteration 174 | Loss 0.69315 | Acc 0.5938
Iteration 175 | Loss 0.69315 | Acc 0.4688
Iteration 176 | Loss 0.69315 | Acc 0.5312
Iteration 177 | Loss 0.69315 | Acc 0.5938
Iteration 178 | Loss 0.69315 | Acc 0.5312
Iteration 179 | Loss 0.69315 | Acc 0.4688
Iteration 180 | Loss 0.69315 | Acc 0.4219
Iteration 181 | Loss 0.69315 | Acc 0.5312
Iteration 182 | Loss 0.69315 | Acc 0.5000
Iteration 183 | Loss 0.69315 | Acc 0.4062
Iteration 184 | Loss 0.69315 | Acc 0.4688
Iteration 185 | Loss 0.69315 | Acc 0.5156
Iteration 186 | Loss 0.69315 | Acc 0.5469
Iteration 187 | Loss 0.69315 | Acc 0.4844
Iteration 188 | Loss 0.69315 | Acc 0.5000
Iteration 189 | Loss 0.69315 | Acc 0.5000
Iteration 190 | Loss 0.69315 | Acc 0.4688
Iteration 191 | Loss 0.69315 | Acc 0.4219
Iteration 192 | Loss 0.69315 | Acc 0.5312
Iteration 193 | Loss 0.69315 | Acc 0.5000
Iteration 194 | Loss 0.69315 | Acc 0.5000
Iteration 195 | Loss 0.69315 | Acc 0.5625
Iteration 196 | Loss 0.69315 | Acc 0.5312
Iteration 197 | Loss 0.69315 | Acc 0.4219
Iteration 198 | Loss 0.69315 | Acc 0.5312
Iteration 199 | Loss 0.69315 | Acc 0.4844
Iteration 200 | Loss 0.69315 | Acc 0.4688
Iteration 201 | Loss 0.69315 | Acc 0.5781
Iteration 202 | Loss 0.69315 | Acc 0.5938
Iteration 203 | Loss 0.69315 | Acc 0.4219
Iteration 204 | Loss 0.69315 | Acc 0.4844
Iteration 205 | Loss 0.69315 | Acc 0.3750
Iteration 206 | Loss 0.69315 | Acc 0.5312
Iteration 207 | Loss 0.69315 | Acc 0.5000
Iteration 208 | Loss 0.69315 | Acc 0.5625
Iteration 209 | Loss 0.69315 | Acc 0.6406
Iteration 210 | Loss 0.69315 | Acc 0.5000
Iteration 211 | Loss 0.69315 | Acc 0.5625
Iteration 212 | Loss 0.69315 | Acc 0.5000
Iteration 213 | Loss 0.69315 | Acc 0.4531
Iteration 214 | Loss 0.69315 | Acc 0.5312
Iteration 215 | Loss 0.69315 | Acc 0.4531
Iteration 216 | Loss 0.69315 | Acc 0.5000
Iteration 217 | Loss 0.69315 | Acc 0.4531
Iteration 218 | Loss 0.69315 | Acc 0.4375
Iteration 219 | Loss 0.69315 | Acc 0.5469
Iteration 220 | Loss 0.69315 | Acc 0.4844
Iteration 221 | Loss 0.69315 | Acc 0.4844
Iteration 222 | Loss 0.69315 | Acc 0.4375
Iteration 223 | Loss 0.69315 | Acc 0.5156
Iteration 224 | Loss 0.69315 | Acc 0.5000
Iteration 225 | Loss 0.69315 | Acc 0.4531
Iteration 226 | Loss 0.69315 | Acc 0.5781
Iteration 227 | Loss 0.69315 | Acc 0.5156
Iteration 228 | Loss 0.69315 | Acc 0.5156
Iteration 229 | Loss 0.69315 | Acc 0.5000
Iteration 230 | Loss 0.69315 | Acc 0.4062
Iteration 231 | Loss 0.69315 | Acc 0.5469
Iteration 232 | Loss 0.69315 | Acc 0.5312
Validation - Iteration 232 | Loss 0.69315 | Acc 0.5619
Best Val loss so far. Saving model
best_loss =  tensor(0.6931, device='cuda:0')
Iteration 233 | Loss 0.69315 | Acc 0.5000
Iteration 234 | Loss 0.69315 | Acc 0.4531
Iteration 235 | Loss 0.69315 | Acc 0.4375
Iteration 236 | Loss 0.69315 | Acc 0.6250
Iteration 237 | Loss 0.69315 | Acc 0.4219
Iteration 238 | Loss 0.69315 | Acc 0.5312
Iteration 239 | Loss 0.69315 | Acc 0.5312
Iteration 240 | Loss 0.69315 | Acc 0.5000
Iteration 241 | Loss 0.69315 | Acc 0.6250
Iteration 242 | Loss 0.69315 | Acc 0.4062
Iteration 243 | Loss 0.69315 | Acc 0.5469
Iteration 244 | Loss 0.69315 | Acc 0.4375
Iteration 245 | Loss 0.69315 | Acc 0.4844
Iteration 246 | Loss 0.69315 | Acc 0.5938
Iteration 247 | Loss 0.69315 | Acc 0.4688
Iteration 248 | Loss 0.69315 | Acc 0.4844
Iteration 249 | Loss 0.69315 | Acc 0.5000
Iteration 250 | Loss 0.69315 | Acc 0.5156
Iteration 251 | Loss 0.69315 | Acc 0.5156
Iteration 252 | Loss 0.69315 | Acc 0.3438
Iteration 253 | Loss 0.69315 | Acc 0.5156
Iteration 254 | Loss 0.69315 | Acc 0.5781
Iteration 255 | Loss 0.69315 | Acc 0.5469
Iteration 256 | Loss 0.69315 | Acc 0.5000
Iteration 257 | Loss 0.69315 | Acc 0.4844
Iteration 258 | Loss 0.69315 | Acc 0.5469
Iteration 259 | Loss 0.69315 | Acc 0.5156
Iteration 260 | Loss 0.69315 | Acc 0.5625
Iteration 261 | Loss 0.69315 | Acc 0.5469
Iteration 262 | Loss 0.69315 | Acc 0.5000
Iteration 263 | Loss 0.69315 | Acc 0.5312
Iteration 264 | Loss 0.69315 | Acc 0.4531
Iteration 265 | Loss 0.69315 | Acc 0.4844
Iteration 266 | Loss 0.69315 | Acc 0.4844
Iteration 267 | Loss 0.69315 | Acc 0.3438
Iteration 268 | Loss 0.69315 | Acc 0.5000
Iteration 269 | Loss 0.69315 | Acc 0.5781
Iteration 270 | Loss 0.69315 | Acc 0.5625
Iteration 271 | Loss 0.69315 | Acc 0.5469
Iteration 272 | Loss 0.69315 | Acc 0.5156
Iteration 273 | Loss 0.69315 | Acc 0.4844
Iteration 274 | Loss 0.69315 | Acc 0.5000
Iteration 275 | Loss 0.69315 | Acc 0.5781
Iteration 276 | Loss 0.69315 | Acc 0.4531
Iteration 277 | Loss 0.69315 | Acc 0.5312
Iteration 278 | Loss 0.69315 | Acc 0.5781
Iteration 279 | Loss 0.69315 | Acc 0.4531
Iteration 280 | Loss 0.69315 | Acc 0.4688
Iteration 281 | Loss 0.69315 | Acc 0.4844
Iteration 282 | Loss 0.69315 | Acc 0.5312
Iteration 283 | Loss 0.69315 | Acc 0.5469
Iteration 284 | Loss 0.69315 | Acc 0.4375
Iteration 285 | Loss 0.69315 | Acc 0.5156
Iteration 286 | Loss 0.69315 | Acc 0.4375
Iteration 287 | Loss 0.69315 | Acc 0.5312
Iteration 288 | Loss 0.69315 | Acc 0.4531
Iteration 289 | Loss 0.69315 | Acc 0.5938
Iteration 290 | Loss 0.69315 | Acc 0.5312
Iteration 291 | Loss 0.69315 | Acc 0.5469
Iteration 292 | Loss 0.69315 | Acc 0.5781
Iteration 293 | Loss 0.69315 | Acc 0.5156
Iteration 294 | Loss 0.69315 | Acc 0.5312
Iteration 295 | Loss 0.69315 | Acc 0.5000
Iteration 296 | Loss 0.69315 | Acc 0.4844
Iteration 297 | Loss 0.69315 | Acc 0.6250
Iteration 298 | Loss 0.69315 | Acc 0.4531
Iteration 299 | Loss 0.69315 | Acc 0.5312
Iteration 300 | Loss 0.69315 | Acc 0.4688
Iteration 301 | Loss 0.69315 | Acc 0.5156
Iteration 302 | Loss 0.69315 | Acc 0.5781
Iteration 303 | Loss 0.69315 | Acc 0.5625
Iteration 304 | Loss 0.69315 | Acc 0.5469
Iteration 305 | Loss 0.69315 | Acc 0.5469
Iteration 306 | Loss 0.69315 | Acc 0.4062
Iteration 307 | Loss 0.69315 | Acc 0.5000
Iteration 308 | Loss 0.69315 | Acc 0.5156
Iteration 309 | Loss 0.69315 | Acc 0.5000
Iteration 310 | Loss 0.69315 | Acc 0.5000
Iteration 311 | Loss 0.69315 | Acc 0.6406
Iteration 312 | Loss 0.69315 | Acc 0.2969
Iteration 313 | Loss 0.69315 | Acc 0.5469
Iteration 314 | Loss 0.69315 | Acc 0.3906
Iteration 315 | Loss 0.69315 | Acc 0.4844
Iteration 316 | Loss 0.69315 | Acc 0.5938
Iteration 317 | Loss 0.69315 | Acc 0.6094
Iteration 318 | Loss 0.69315 | Acc 0.4688
Iteration 319 | Loss 0.69315 | Acc 0.6094
Iteration 320 | Loss 0.69315 | Acc 0.5938
Iteration 321 | Loss 0.69315 | Acc 0.4688
Iteration 322 | Loss 0.69315 | Acc 0.4375
Iteration 323 | Loss 0.69315 | Acc 0.5312
Iteration 324 | Loss 0.69315 | Acc 0.4844
Iteration 325 | Loss 0.69315 | Acc 0.5781
Iteration 326 | Loss 0.69315 | Acc 0.4688
Iteration 327 | Loss 0.69315 | Acc 0.5156
Iteration 328 | Loss 0.69315 | Acc 0.4688
Iteration 329 | Loss 0.69315 | Acc 0.5781
Iteration 330 | Loss 0.69315 | Acc 0.4844
Iteration 331 | Loss 0.69315 | Acc 0.5625
Iteration 332 | Loss 0.69315 | Acc 0.4531
Iteration 333 | Loss 0.69315 | Acc 0.5156
Iteration 334 | Loss 0.69315 | Acc 0.3906
Iteration 335 | Loss 0.69315 | Acc 0.5469
Iteration 336 | Loss 0.69315 | Acc 0.4531
Iteration 337 | Loss 0.69315 | Acc 0.5469
Iteration 338 | Loss 0.69315 | Acc 0.5625
Iteration 339 | Loss 0.69315 | Acc 0.5625
Iteration 340 | Loss 0.69315 | Acc 0.5312
Iteration 341 | Loss 0.69315 | Acc 0.3750
Iteration 342 | Loss 0.69315 | Acc 0.4844
Iteration 343 | Loss 0.69315 | Acc 0.4531
Iteration 344 | Loss 0.69315 | Acc 0.4688
Iteration 345 | Loss 0.69315 | Acc 0.4844
Iteration 346 | Loss 0.69315 | Acc 0.4062
Iteration 347 | Loss 0.69315 | Acc 0.4844
Iteration 348 | Loss 0.69315 | Acc 0.5312
Iteration 349 | Loss 0.69315 | Acc 0.7188
Iteration 350 | Loss 0.69315 | Acc 0.4688
Iteration 351 | Loss 0.69315 | Acc 0.4844
Iteration 352 | Loss 0.69315 | Acc 0.4531
Iteration 353 | Loss 0.69315 | Acc 0.5156
Iteration 354 | Loss 0.69315 | Acc 0.5156
Iteration 355 | Loss 0.69315 | Acc 0.5000
Iteration 356 | Loss 0.69315 | Acc 0.5000
Iteration 357 | Loss 0.69315 | Acc 0.4844
Iteration 358 | Loss 0.69315 | Acc 0.5000
Iteration 359 | Loss 0.69315 | Acc 0.4688
Iteration 360 | Loss 0.69315 | Acc 0.4844
Iteration 361 | Loss 0.69315 | Acc 0.6094
Iteration 362 | Loss 0.69315 | Acc 0.5312
Iteration 363 | Loss 0.69315 | Acc 0.5469
Iteration 364 | Loss 0.69315 | Acc 0.4219
Iteration 365 | Loss 0.69315 | Acc 0.5781
Iteration 366 | Loss 0.69315 | Acc 0.4844
Iteration 367 | Loss 0.69315 | Acc 0.4688
Iteration 368 | Loss 0.69315 | Acc 0.5625
Iteration 369 | Loss 0.69315 | Acc 0.4688
Iteration 370 | Loss 0.69315 | Acc 0.4375
Iteration 371 | Loss 0.69315 | Acc 0.5312
Iteration 372 | Loss 0.69315 | Acc 0.5312
Iteration 373 | Loss 0.69315 | Acc 0.4531
Iteration 374 | Loss 0.69315 | Acc 0.4531
Iteration 375 | Loss 0.69315 | Acc 0.4844
Iteration 376 | Loss 0.69315 | Acc 0.5312
Iteration 377 | Loss 0.69315 | Acc 0.5469
Iteration 378 | Loss 0.69315 | Acc 0.4531
Iteration 379 | Loss 0.69315 | Acc 0.6094
Iteration 380 | Loss 0.69315 | Acc 0.4531
Iteration 381 | Loss 0.69315 | Acc 0.4844
Iteration 382 | Loss 0.69315 | Acc 0.5156
Iteration 383 | Loss 0.69315 | Acc 0.4531
Iteration 384 | Loss 0.69315 | Acc 0.5000
Iteration 385 | Loss 0.69315 | Acc 0.5312
Iteration 386 | Loss 0.69315 | Acc 0.5781
Iteration 387 | Loss 0.69315 | Acc 0.5000
Iteration 388 | Loss 0.69315 | Acc 0.4688
Iteration 389 | Loss 0.69315 | Acc 0.5781
Iteration 390 | Loss 0.69315 | Acc 0.6719
Iteration 391 | Loss 0.69315 | Acc 0.5781
Iteration 392 | Loss 0.69315 | Acc 0.4844
Iteration 393 | Loss 0.69315 | Acc 0.4375
Iteration 394 | Loss 0.69315 | Acc 0.5312
Iteration 395 | Loss 0.69315 | Acc 0.4531
Iteration 396 | Loss 0.69315 | Acc 0.5312
Iteration 397 | Loss 0.69315 | Acc 0.5469
Iteration 398 | Loss 0.69315 | Acc 0.4688
Iteration 399 | Loss 0.69315 | Acc 0.4531
Iteration 400 | Loss 0.69315 | Acc 0.5625
Iteration 401 | Loss 0.69315 | Acc 0.5781
Iteration 402 | Loss 0.69315 | Acc 0.4062
Iteration 403 | Loss 0.69315 | Acc 0.3750
Iteration 404 | Loss 0.69315 | Acc 0.4844
Iteration 405 | Loss 0.69315 | Acc 0.4844
Iteration 406 | Loss 0.69315 | Acc 0.4688
Iteration 407 | Loss 0.69315 | Acc 0.5000
Iteration 408 | Loss 0.69315 | Acc 0.5625
Iteration 409 | Loss 0.69315 | Acc 0.5625
Iteration 410 | Loss 0.69315 | Acc 0.4844
Iteration 411 | Loss 0.69315 | Acc 0.5625
Iteration 412 | Loss 0.69315 | Acc 0.5469
Iteration 413 | Loss 0.69315 | Acc 0.5625
Iteration 414 | Loss 0.69315 | Acc 0.5156
Iteration 415 | Loss 0.69315 | Acc 0.4375
Iteration 416 | Loss 0.69315 | Acc 0.4844
Iteration 417 | Loss 0.69315 | Acc 0.4219
Iteration 418 | Loss 0.69315 | Acc 0.4531
Iteration 419 | Loss 0.69315 | Acc 0.5000
Iteration 420 | Loss 0.69315 | Acc 0.5000
Iteration 421 | Loss 0.69315 | Acc 0.4688
Iteration 422 | Loss 0.69315 | Acc 0.5781
Iteration 423 | Loss 0.69315 | Acc 0.5781
Iteration 424 | Loss 0.69315 | Acc 0.5312
Iteration 425 | Loss 0.69315 | Acc 0.4688
Iteration 426 | Loss 0.69315 | Acc 0.4375
Iteration 427 | Loss 0.69315 | Acc 0.5000
Iteration 428 | Loss 0.69315 | Acc 0.5312
Iteration 429 | Loss 0.69315 | Acc 0.5000
Iteration 430 | Loss 0.69315 | Acc 0.3750
Iteration 431 | Loss 0.69315 | Acc 0.4219
Iteration 432 | Loss 0.69315 | Acc 0.5156
Iteration 433 | Loss 0.69315 | Acc 0.4375
Iteration 434 | Loss 0.69315 | Acc 0.5625
Iteration 435 | Loss 0.69315 | Acc 0.5938
Iteration 436 | Loss 0.69315 | Acc 0.4531
Iteration 437 | Loss 0.69315 | Acc 0.5938
Iteration 438 | Loss 0.69315 | Acc 0.4062
Iteration 439 | Loss 0.69315 | Acc 0.3438
Iteration 440 | Loss 0.69315 | Acc 0.6094
Iteration 441 | Loss 0.69315 | Acc 0.5781
Iteration 442 | Loss 0.69315 | Acc 0.3906
Iteration 443 | Loss 0.69315 | Acc 0.5156
Iteration 444 | Loss 0.69315 | Acc 0.5781
Iteration 445 | Loss 0.69315 | Acc 0.4688
Iteration 446 | Loss 0.69315 | Acc 0.5625
Iteration 447 | Loss 0.69315 | Acc 0.5312
Iteration 448 | Loss 0.69315 | Acc 0.5156
Iteration 449 | Loss 0.69315 | Acc 0.6250
Iteration 450 | Loss 0.69315 | Acc 0.5000
Iteration 451 | Loss 0.69315 | Acc 0.5469
Iteration 452 | Loss 0.69315 | Acc 0.5469
Iteration 453 | Loss 0.69315 | Acc 0.4688
Iteration 454 | Loss 0.69315 | Acc 0.4844
Iteration 455 | Loss 0.69315 | Acc 0.5781
Iteration 456 | Loss 0.69315 | Acc 0.5469
Iteration 457 | Loss 0.69315 | Acc 0.4844
Iteration 458 | Loss 0.69315 | Acc 0.5156
Iteration 459 | Loss 0.69315 | Acc 0.5156
Iteration 460 | Loss 0.69315 | Acc 0.4688
Iteration 461 | Loss 0.69315 | Acc 0.5312
Iteration 462 | Loss 0.69315 | Acc 0.6562
Iteration 463 | Loss 0.69315 | Acc 0.5469
Iteration 464 | Loss 0.69315 | Acc 0.4844
Validation - Iteration 464 | Loss 0.69315 | Acc 0.5650
Iteration 465 | Loss 0.69315 | Acc 0.4531
Iteration 466 | Loss 0.69315 | Acc 0.4688
Iteration 467 | Loss 0.69315 | Acc 0.5000
Iteration 468 | Loss 0.69315 | Acc 0.5625
Iteration 469 | Loss 0.69315 | Acc 0.4688
Iteration 470 | Loss 0.69315 | Acc 0.4844
Iteration 471 | Loss 0.69315 | Acc 0.5000
Iteration 472 | Loss 0.69315 | Acc 0.3750
Iteration 473 | Loss 0.69315 | Acc 0.3750
Iteration 474 | Loss 0.69315 | Acc 0.4844
Iteration 475 | Loss 0.69315 | Acc 0.3594
Iteration 476 | Loss 0.69315 | Acc 0.5000
Iteration 477 | Loss 0.69315 | Acc 0.5625
Iteration 478 | Loss 0.69315 | Acc 0.3906
Iteration 479 | Loss 0.69315 | Acc 0.5156
Iteration 480 | Loss 0.69315 | Acc 0.4844
Iteration 481 | Loss 0.69315 | Acc 0.5938
Iteration 482 | Loss 0.69315 | Acc 0.5625
Iteration 483 | Loss 0.69315 | Acc 0.4531
Iteration 484 | Loss 0.69315 | Acc 0.5156
Iteration 485 | Loss 0.69315 | Acc 0.4531
Iteration 486 | Loss 0.69315 | Acc 0.3438
Iteration 487 | Loss 0.69315 | Acc 0.6094
Iteration 488 | Loss 0.69315 | Acc 0.4219
Iteration 489 | Loss 0.69315 | Acc 0.5312
Iteration 490 | Loss 0.69315 | Acc 0.5469
Iteration 491 | Loss 0.69315 | Acc 0.5469
Iteration 492 | Loss 0.69315 | Acc 0.5938
Iteration 493 | Loss 0.69315 | Acc 0.4844
Iteration 494 | Loss 0.69315 | Acc 0.4688
Iteration 495 | Loss 0.69315 | Acc 0.5469
